NAME,TYPE,LOCATION,
"olympic-data-sa1524","Synapse workspace","Central India"
"olympicdata2624","Storage account","Southeast Asia"
"olympics-datafactory2605","Data factory (V2)","Central India"
"Olympicsdata_db","Azure Databricks Service","Central India"
